Datetime,yhat
2017-11-25,27424.92151510244
2017-11-26,26864.675862075106
2017-11-27,30511.63022730241
2017-11-28,31203.049539836295
2017-11-29,31418.491750698016
2017-11-30,31505.583289144102
2017-12-01,31227.046362683643
2017-12-02,28859.694654568506
2017-12-03,28303.49823657495
2017-12-04,31937.908839201387
2017-12-05,32599.87622418466
2017-12-06,32769.03766341456
2017-12-07,32793.50059944577
2017-12-08,32436.866760525227
2017-12-09,29977.214216394757
2017-12-10,29316.138407853345
2017-12-11,32835.04378697488
2017-12-12,33373.11757650315
2017-12-13,33412.46866606093
2017-12-14,33303.85295921683
2017-12-15,32813.63487563088
2017-12-16,30222.70308166501
2017-12-17,29435.44318287305
2017-12-18,32835.960783930685
2017-12-19,33265.98821366202
2017-12-20,33209.95969438344
2017-12-21,33020.677955147294
2017-12-22,32466.22355732383
2017-12-23,29828.826405145737
2017-12-24,29013.80337078804
2017-12-25,28905.898465461923
2017-12-26,32846.46508531736
2017-12-27,32819.95891941475
2017-12-28,32678.192311839266
2017-12-29,32187.9734898455
2017-12-30,29629.866258531434
2017-12-31,28907.167796375437
2018-01-01,29251.19829861043
2018-01-02,32954.037901055926
2018-01-03,33044.08651864105
2018-01-04,33021.38158325777
2018-01-05,32649.80952901893
2018-01-06,30207.036297923103
2018-01-07,29593.555494014556
2018-01-08,33189.00323908105
2018-01-09,33830.17072095089
2018-01-10,33996.196542601894
2018-01-11,34034.3589059796
2018-01-12,33707.11571734095
2018-01-13,31291.108773291355
2018-01-14,30686.232599338335
2018-01-15,33805.21905891113
2018-01-16,34885.348087474384
2018-01-17,35006.22815536516
2018-01-18,34982.964614376746
2018-01-19,34579.46700160173
2018-01-20,32074.151039475026
2018-01-21,31368.95755110716
2018-01-22,34845.62066675063
2018-01-23,35343.61768471954
2018-01-24,35345.28448362007
2018-01-25,35201.518673964645
2018-01-26,34678.7210357722
2018-01-27,32057.694097945197
2018-01-28,31242.601290829283
2018-01-29,34617.18066764382
2018-01-30,35022.64695551588
2018-01-31,34942.76703523042
2018-02-01,34729.5320148853
2018-02-02,34150.077169946555
2018-02-03,31485.569063438445
2018-02-04,30640.16345649535
2018-02-05,33997.22790324919
2018-02-06,34397.262412813936
2018-02-07,34323.00263733929
2018-02-08,34125.1278682135
2018-02-09,33569.224014385916
2018-02-10,30934.719594477057
2018-02-11,30123.896925213852
2018-02-12,33518.17086733277
2018-02-13,33956.06691810772
2018-02-14,33918.3814992974
2018-02-15,33753.94514150116
2018-02-16,33226.63723019255
2018-02-17,30614.368950307173
2018-02-18,29818.13536887726
2018-02-19,34115.19154899859
2018-02-20,33652.738503317305
2018-02-21,33601.73662807347
2018-02-22,33414.04127949487
2018-02-23,32853.73472376091
2018-02-24,30199.23583926634
2018-02-25,29352.334040632653
2018-02-26,32694.47576606802
2018-02-27,33064.73531432737
2018-02-28,32944.95329807568
2018-03-01,32685.464236893615
2018-03-02,32052.06315308077
2018-03-03,29324.929342586354
2018-03-04,28407.610085704204
2018-03-05,31683.257659932846
2018-03-06,31992.552831080862
2018-03-07,31818.799399568306
2018-03-08,31513.61251940819
2018-03-09,30843.851698833834
2018-03-10,28090.517524398183
2018-03-11,27157.715543564227
2018-03-12,30428.881123360392
2018-03-13,30744.698690610625
2018-03-14,30588.199931232444
2018-03-15,30310.463440497413
2018-03-16,29677.566291620224
2018-03-17,26969.50592218143
2018-03-18,26089.19495214142
2018-03-19,29418.721776870043
2018-03-20,29797.30924405899
2018-03-21,29706.454806655678
2018-03-22,29495.673405017653
2018-03-23,28929.492290617593
2018-03-24,26286.41495607241
2018-03-25,25467.955606546137
2018-03-26,28854.93592672861
2018-03-27,29285.475482952028
2018-03-28,29240.15832980106
2018-03-29,29067.79641979027
2018-03-30,28532.4385586344
2018-03-31,25912.341796699668
2018-04-01,25109.006617927065
2018-04-02,28503.46780609522
2018-04-03,28934.272646033587
2018-04-04,28882.629526664
2018-04-05,28698.14820389423
2018-04-06,28145.821264684506
2018-04-07,25504.964594602738
2018-04-08,24678.21920579484
