Datetime,predicted_mean
2017-08-27,28895.249426884846
2017-08-28,31742.181622533342
2017-08-29,31746.15080987963
2017-08-30,31831.34280932645
2017-08-31,32316.607186255944
2017-09-01,32390.133143433686
2017-09-02,30245.322503599346
2017-09-03,28895.249426884846
2017-09-04,31742.181622533342
2017-09-05,31746.15080987963
2017-09-06,31831.34280932645
2017-09-07,32316.607186255944
2017-09-08,32390.133143433686
2017-09-09,30245.322503599346
2017-09-10,28895.249426884846
2017-09-11,31742.181622533342
2017-09-12,31746.15080987963
2017-09-13,31831.34280932645
2017-09-14,32316.607186255944
2017-09-15,32390.133143433686
2017-09-16,30245.322503599346
2017-09-17,28895.249426884846
2017-09-18,31742.181622533342
2017-09-19,31746.15080987963
2017-09-20,31831.34280932645
2017-09-21,32316.607186255944
2017-09-22,32390.133143433686
2017-09-23,30245.322503599346
2017-09-24,28895.249426884846
2017-09-25,31742.181622533342
2017-09-26,31746.15080987963
2017-09-27,31831.34280932645
2017-09-28,32316.607186255944
2017-09-29,32390.133143433686
2017-09-30,30245.322503599346
2017-10-01,28895.249426884846
2017-10-02,31742.181622533342
2017-10-03,31746.15080987963
2017-10-04,31831.34280932645
2017-10-05,32316.607186255944
2017-10-06,32390.133143433686
2017-10-07,30245.322503599346
2017-10-08,28895.249426884846
2017-10-09,31742.181622533342
2017-10-10,31746.15080987963
2017-10-11,31831.34280932645
2017-10-12,32316.607186255944
2017-10-13,32390.133143433686
2017-10-14,30245.322503599346
2017-10-15,28895.249426884846
2017-10-16,31742.181622533342
2017-10-17,31746.15080987963
2017-10-18,31831.34280932645
2017-10-19,32316.607186255944
2017-10-20,32390.133143433686
2017-10-21,30245.322503599346
2017-10-22,28895.249426884846
2017-10-23,31742.181622533342
2017-10-24,31746.15080987963
2017-10-25,31831.34280932645
2017-10-26,32316.607186255944
2017-10-27,32390.133143433686
2017-10-28,30245.322503599346
2017-10-29,28895.249426884846
2017-10-30,31742.181622533342
2017-10-31,31746.15080987963
2017-11-01,31831.34280932645
2017-11-02,32316.607186255944
2017-11-03,32390.133143433686
2017-11-04,30245.322503599346
2017-11-05,28895.249426884846
2017-11-06,31742.181622533342
2017-11-07,31746.15080987963
2017-11-08,31831.34280932645
2017-11-09,32316.607186255944
2017-11-10,32390.133143433686
2017-11-11,30245.322503599346
2017-11-12,28895.249426884846
2017-11-13,31742.181622533342
2017-11-14,31746.15080987963
2017-11-15,31831.34280932645
2017-11-16,32316.607186255944
2017-11-17,32390.133143433686
2017-11-18,30245.322503599346
2017-11-19,28895.249426884846
2017-11-20,31742.181622533342
2017-11-21,31746.15080987963
2017-11-22,31831.34280932645
2017-11-23,32316.607186255944
2017-11-24,32390.133143433686
2017-11-25,30245.322503599346
2017-11-26,28895.249426884846
2017-11-27,31742.181622533342
2017-11-28,31746.15080987963
2017-11-29,31831.34280932645
2017-11-30,32316.607186255944
2017-12-01,32390.133143433686
2017-12-02,30245.322503599346
2017-12-03,28895.249426884846
2017-12-04,31742.181622533342
2017-12-05,31746.15080987963
2017-12-06,31831.34280932645
2017-12-07,32316.607186255944
2017-12-08,32390.133143433686
2017-12-09,30245.322503599346
2017-12-10,28895.249426884846
2017-12-11,31742.181622533342
2017-12-12,31746.15080987963
2017-12-13,31831.34280932645
2017-12-14,32316.607186255944
2017-12-15,32390.133143433686
2017-12-16,30245.322503599346
2017-12-17,28895.249426884846
2017-12-18,31742.181622533342
2017-12-19,31746.15080987963
2017-12-20,31831.34280932645
2017-12-21,32316.607186255944
2017-12-22,32390.133143433686
2017-12-23,30245.322503599346
2017-12-24,28895.249426884846
2017-12-25,31742.181622533342
2017-12-26,31746.15080987963
2017-12-27,31831.34280932645
2017-12-28,32316.607186255944
2017-12-29,32390.133143433686
2017-12-30,30245.322503599346
2017-12-31,28895.249426884846
2018-01-01,31742.181622533342
2018-01-02,31746.15080987963
2018-01-03,31831.34280932645
2018-01-04,32316.607186255944
2018-01-05,32390.133143433686
2018-01-06,30245.322503599346
2018-01-07,28895.249426884846
2018-01-08,31742.181622533342
2018-01-09,31746.15080987963
2018-01-10,31831.34280932645
2018-01-11,32316.607186255944
2018-01-12,32390.133143433686
2018-01-13,30245.322503599346
2018-01-14,28895.249426884846
2018-01-15,31742.181622533342
2018-01-16,31746.15080987963
2018-01-17,31831.34280932645
2018-01-18,32316.607186255944
2018-01-19,32390.133143433686
2018-01-20,30245.322503599346
2018-01-21,28895.249426884846
2018-01-22,31742.181622533342
2018-01-23,31746.15080987963
2018-01-24,31831.34280932645
2018-01-25,32316.607186255944
2018-01-26,32390.133143433686
2018-01-27,30245.322503599346
2018-01-28,28895.249426884846
2018-01-29,31742.181622533342
2018-01-30,31746.15080987963
2018-01-31,31831.34280932645
2018-02-01,32316.607186255944
2018-02-02,32390.133143433686
2018-02-03,30245.322503599346
2018-02-04,28895.249426884846
2018-02-05,31742.181622533342
2018-02-06,31746.15080987963
2018-02-07,31831.34280932645
2018-02-08,32316.607186255944
2018-02-09,32390.133143433686
2018-02-10,30245.322503599346
2018-02-11,28895.249426884846
2018-02-12,31742.181622533342
2018-02-13,31746.15080987963
2018-02-14,31831.34280932645
2018-02-15,32316.607186255944
2018-02-16,32390.133143433686
2018-02-17,30245.322503599346
2018-02-18,28895.249426884846
2018-02-19,31742.181622533342
2018-02-20,31746.15080987963
2018-02-21,31831.34280932645
2018-02-22,32316.607186255944
2018-02-23,32390.133143433686
2018-02-24,30245.322503599346
2018-02-25,28895.249426884846
2018-02-26,31742.181622533342
2018-02-27,31746.15080987963
2018-02-28,31831.34280932645
2018-03-01,32316.607186255944
2018-03-02,32390.133143433686
2018-03-03,30245.322503599346
2018-03-04,28895.249426884846
2018-03-05,31742.181622533342
2018-03-06,31746.15080987963
2018-03-07,31831.34280932645
2018-03-08,32316.607186255944
2018-03-09,32390.133143433686
2018-03-10,30245.322503599346
2018-03-11,28895.249426884846
2018-03-12,31742.181622533342
2018-03-13,31746.15080987963
2018-03-14,31831.34280932645
2018-03-15,32316.607186255944
2018-03-16,32390.133143433686
2018-03-17,30245.322503599346
2018-03-18,28895.249426884846
2018-03-19,31742.181622533342
2018-03-20,31746.15080987963
2018-03-21,31831.34280932645
2018-03-22,32316.607186255944
2018-03-23,32390.133143433686
2018-03-24,30245.322503599346
2018-03-25,28895.249426884846
2018-03-26,31742.181622533342
2018-03-27,31746.15080987963
2018-03-28,31831.34280932645
2018-03-29,32316.607186255944
2018-03-30,32390.133143433686
2018-03-31,30245.322503599346
2018-04-01,28895.249426884846
2018-04-02,31742.181622533342
2018-04-03,31746.15080987963
2018-04-04,31831.34280932645
2018-04-05,32316.607186255944
2018-04-06,32390.133143433686
2018-04-07,30245.322503599346
2018-04-08,28895.249426884846
2018-04-09,31742.181622533342
2018-04-10,31746.15080987963
2018-04-11,31831.34280932645
2018-04-12,32316.607186255944
2018-04-13,32390.133143433686
2018-04-14,30245.322503599346
2018-04-15,28895.249426884846
2018-04-16,31742.181622533342
2018-04-17,31746.15080987963
2018-04-18,31831.34280932645
2018-04-19,32316.607186255944
2018-04-20,32390.133143433686
2018-04-21,30245.322503599346
2018-04-22,28895.249426884846
2018-04-23,31742.181622533342
2018-04-24,31746.15080987963
2018-04-25,31831.34280932645
2018-04-26,32316.607186255944
2018-04-27,32390.133143433686
2018-04-28,30245.322503599346
2018-04-29,28895.249426884846
2018-04-30,31742.181622533342
2018-05-01,31746.15080987963
2018-05-02,31831.34280932645
2018-05-03,32316.607186255944
2018-05-04,32390.133143433686
2018-05-05,30245.322503599346
2018-05-06,28895.249426884846
2018-05-07,31742.181622533342
2018-05-08,31746.15080987963
2018-05-09,31831.34280932645
2018-05-10,32316.607186255944
2018-05-11,32390.133143433686
2018-05-12,30245.322503599346
2018-05-13,28895.249426884846
2018-05-14,31742.181622533342
2018-05-15,31746.15080987963
2018-05-16,31831.34280932645
2018-05-17,32316.607186255944
2018-05-18,32390.133143433686
2018-05-19,30245.322503599346
2018-05-20,28895.249426884846
2018-05-21,31742.181622533342
2018-05-22,31746.15080987963
2018-05-23,31831.34280932645
2018-05-24,32316.607186255944
2018-05-25,32390.133143433686
2018-05-26,30245.322503599346
2018-05-27,28895.249426884846
2018-05-28,31742.181622533342
2018-05-29,31746.15080987963
2018-05-30,31831.34280932645
2018-05-31,32316.607186255944
2018-06-01,32390.133143433686
2018-06-02,30245.322503599346
2018-06-03,28895.249426884846
2018-06-04,31742.181622533342
2018-06-05,31746.15080987963
2018-06-06,31831.34280932645
2018-06-07,32316.607186255944
2018-06-08,32390.133143433686
2018-06-09,30245.322503599346
2018-06-10,28895.249426884846
2018-06-11,31742.181622533342
2018-06-12,31746.15080987963
2018-06-13,31831.34280932645
2018-06-14,32316.607186255944
2018-06-15,32390.133143433686
2018-06-16,30245.322503599346
2018-06-17,28895.249426884846
2018-06-18,31742.181622533342
2018-06-19,31746.15080987963
2018-06-20,31831.34280932645
2018-06-21,32316.607186255944
2018-06-22,32390.133143433686
2018-06-23,30245.322503599346
2018-06-24,28895.249426884846
2018-06-25,31742.181622533342
2018-06-26,31746.15080987963
2018-06-27,31831.34280932645
2018-06-28,32316.607186255944
2018-06-29,32390.133143433686
2018-06-30,30245.322503599346
2018-07-01,28895.249426884846
2018-07-02,31742.181622533342
2018-07-03,31746.15080987963
2018-07-04,31831.34280932645
2018-07-05,32316.607186255944
2018-07-06,32390.133143433686
2018-07-07,30245.322503599346
2018-07-08,28895.249426884846
2018-07-09,31742.181622533342
2018-07-10,31746.15080987963
2018-07-11,31831.34280932645
2018-07-12,32316.607186255944
2018-07-13,32390.133143433686
2018-07-14,30245.322503599346
2018-07-15,28895.249426884846
2018-07-16,31742.181622533342
2018-07-17,31746.15080987963
2018-07-18,31831.34280932645
2018-07-19,32316.607186255944
2018-07-20,32390.133143433686
2018-07-21,30245.322503599346
2018-07-22,28895.249426884846
2018-07-23,31742.181622533342
2018-07-24,31746.15080987963
2018-07-25,31831.34280932645
2018-07-26,32316.607186255944
2018-07-27,32390.133143433686
2018-07-28,30245.322503599346
2018-07-29,28895.249426884846
2018-07-30,31742.181622533342
2018-07-31,31746.15080987963
2018-08-01,31831.34280932645
2018-08-02,32316.607186255944
2018-08-03,32390.133143433686
